merchant_id,day,hour,type,stealth,kind
M01_electronics,4,10.716750043748625,card_testing,fast_loud,attack
M01_electronics,9,14.599014215761928,card_testing,fast_loud,attack
M01_electronics,14,5.07104465057128,bot_checkout_burst,fast_loud,attack
M01_electronics,19,1.9667348113358978,bot_checkout_burst,fast_loud,attack
M01_electronics,24,13.86588375539544,card_testing,fast_loud,attack
M01_electronics,27,7.1253317077559295,bot_checkout_burst,fast_loud,attack
M01_electronics,30,11.139051693104822,promo_abuse_burst,fast_loud,attack
M01_electronics,34,20.892993594557552,card_testing,fast_loud,attack
M01_electronics,37,22.825823231306877,card_testing,fast_loud,attack
M01_electronics,42,3.9226288838845678,bot_checkout_burst,slow_drip,attack
M02_food_delivery,5,1.547172885637485,bin_enumeration,fast_loud,attack
M02_food_delivery,10,7.290018625015588,bin_enumeration,fast_loud,attack
M02_food_delivery,15,7.7582691708943265,bot_checkout_burst,fast_loud,attack
M02_food_delivery,18,2.360589388561208,bot_checkout_burst,fast_loud,attack
M02_food_delivery,23,9.377797469394057,bot_checkout_burst,fast_loud,attack
M02_food_delivery,27,3.60650881241426,promo_abuse_burst,fast_loud,attack
M02_food_delivery,32,16.14839361796843,bot_checkout_burst,fast_loud,attack
M02_food_delivery,35,22.26003435206611,bot_checkout_burst,fast_loud,attack
M02_food_delivery,39,1.0606968091678066,bin_enumeration,slow_drip,attack
M02_food_delivery,42,2.6034292873723963,bot_checkout_burst,fast_loud,attack
M03_subscription,3,20.28486276867727,promo_abuse_burst,fast_loud,attack
M03_subscription,8,4.808078708690118,promo_abuse_burst,fast_loud,attack
M03_subscription,12,8.010585675544853,promo_abuse_burst,fast_loud,attack
M03_subscription,16,12.571935303717542,card_testing,fast_loud,attack
M03_subscription,19,8.112398956528363,promo_abuse_burst,fast_loud,attack
M03_subscription,22,1.6963579229582155,bin_enumeration,fast_loud,attack
M03_subscription,25,15.945801453513177,card_testing,fast_loud,attack
M03_subscription,30,16.673708861093136,card_testing,slow_drip,attack
M03_subscription,35,2.004814650034205,card_testing,fast_loud,attack
M03_subscription,38,5.7170667074993595,bot_checkout_burst,slow_drip,attack
M03_subscription,41,11.508886955120486,bot_checkout_burst,fast_loud,attack
M03_subscription,44,19.560908831721605,card_testing,fast_loud,attack
M04_ticketing,5,11.523358487680472,bin_enumeration,fast_loud,attack
M04_ticketing,9,21.815118988530713,promo_abuse_burst,fast_loud,attack
M04_ticketing,14,9.015353711831256,bot_checkout_burst,fast_loud,attack
M04_ticketing,19,23.708713178839957,bin_enumeration,fast_loud,attack
M04_ticketing,23,20.82437712409337,bot_checkout_burst,fast_loud,attack
M04_ticketing,28,15.760572478091147,bin_enumeration,fast_loud,attack
M04_ticketing,33,7.516265660866613,bot_checkout_burst,fast_loud,attack
M04_ticketing,38,0.5118103852118994,bot_checkout_burst,fast_loud,attack
M04_ticketing,42,8.224493953307595,card_testing,fast_loud,attack
M05_fashion,3,13.858398176440716,bot_checkout_burst,fast_loud,attack
M05_fashion,8,15.430589990232544,promo_abuse_burst,fast_loud,attack
M05_fashion,11,8.651001047249206,bin_enumeration,fast_loud,attack
M05_fashion,16,3.0726515802506693,card_testing,fast_loud,attack
M05_fashion,19,20.954463012232413,card_testing,fast_loud,attack
M05_fashion,24,12.413436448557682,bin_enumeration,fast_loud,attack
M05_fashion,28,17.022315508600038,bin_enumeration,fast_loud,attack
M05_fashion,32,2.0696370483759603,card_testing,fast_loud,attack
M05_fashion,36,21.048919177744896,bin_enumeration,slow_drip,attack
M05_fashion,41,16.152705630084142,card_testing,fast_loud,attack
M05_fashion,44,2.4458835661153433,promo_abuse_burst,fast_loud,attack
M06_grocery,4,17.56782192333035,bot_checkout_burst,fast_loud,attack
M06_grocery,9,21.542240127243673,promo_abuse_burst,fast_loud,attack
M06_grocery,14,17.877731715378673,bot_checkout_burst,fast_loud,attack
M06_grocery,17,23.58211610130512,bot_checkout_burst,fast_loud,attack
